vendor_key,incumbent_vendor,incumbent_uei,number_of_cyber_it_awards,total_obligated_amount,expiring_value_6_months,expiring_value_12_months,expiring_value_24_months,average_contract_value,recompete_candidate_count,incumbent_concentration_score,incumbent_vulnerability_score,vulnerability_basis,pct_value_expired,pct_value_unknown_expiration,size_standard_shift,size_standard_basis,active_recompete_candidate_count,active_value
331,DKW COMMUNICATIONS INC,DKDMARTHRKD9,15,112189339.5,0.0,0.0,0.0,7479289.3,15,0.05,,no_forward_book,100.0,0.0,False,"no S->O transition across 32 readable determinations — per-procurement, directional",0,0.0
332,"FEDERAL ACQUISITION SERVICES ALLIANT, JOINT VENTURE LLC",CRCCZNM5AGM3,10,111409201.17999998,0.0,0.0,0.0,11140920.12,10,0.05,,no_forward_book,100.0,0.0,False,"no S->O transition across 10 readable determinations — per-procurement, directional",0,0.0
333,REGAN TECHNOLOGIES CORP,PJ2BS3KYWKS5,27,111287370.38,0.0,0.0,0.0,4121754.46,27,0.05,,no_forward_book,100.0,0.0,False,"no S->O transition across 186 readable determinations — per-procurement, directional",0,0.0
336,EMC CORPORATION,ETMWNWTZ1CW5,39,110381983.46,1352964.08,1352964.08,1352964.08,2830307.27,39,0.05,100.0,value_weighted_near_term_share,95.0,0.0,False,"no S->O transition across 54 readable determinations — per-procurement, directional",1,1352964.08
337,ENSCO INC,DP3FAQE2UGT3,89,110204468.64,0.0,0.0,0.0,1238252.46,89,0.05,,no_forward_book,100.0,0.0,True,"latest of 5 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 4 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
338,SAP NATIONAL SECURITY SERVICES INC,E2YSTNG9R2P8,9,109414811.33,0.0,0.0,0.0,12157201.26,9,0.05,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 10 readable determinations — per-procurement, directional",2,33109577.380000003
342,"ANACAPA MICRO PRODUCTS, INC",CYX7XBK19BU4,104,106869308.26,0.0,0.0,0.0,1027589.5,104,0.05,,no_forward_book,100.0,0.0,False,"no S->O transition across 271 readable determinations — per-procurement, directional",0,0.0
343,"PRECISE SYSTEMS, INC",E4ZQM4DEJZB5,4,106196383.27,0.0,0.0,0.0,26549095.82,4,0.05,0.0,value_weighted_near_term_share,81.0,0.0,True,"latest of 57 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 25 total), with 32 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,13219590.42
344,LAKEVIEW CENTER INC,HKKJG3A4NKP7,13,106102017.66,0.0,0.0,0.0,8161693.67,13,0.05,,no_forward_book,100.0,0.0,False,"no S->O transition across 13 readable determinations — per-procurement, directional",0,0.0
345,"GLOBAL ENTERPRISE SOLUTIONS, INC",RL2UXQCGMBD9,16,106025396.89,24089429.16,24089429.16,24089429.16,6626587.31,16,0.05,100.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 57 readable determinations — per-procurement, directional",2,24089429.16
350,CHENEGA DECISION SCIENCES LLC,PN2EBLQ12PH1,13,103558850.28,0.0,0.0,0.0,7966065.41,13,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 17 readable determinations — per-procurement, directional",0,0.0
353,CSRA LLC,VSFCW25ZAE49,20,102396648.37,0.0,0.0,0.0,5119832.42,20,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 22 readable determinations — per-procurement, directional",0,0.0
354,"EAGLE INTEGRATED SERVICES, LLC",QNR7B2CS89A3,16,101674261.57,0.0,0.0,0.0,6354641.35,16,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 39 readable determinations — per-procurement, directional",0,0.0
356,"SYSTEMS PLUS, INC",J7H2GBCDCLY6,7,101468828.74,0.0,0.0,0.0,14495546.96,7,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 32 readable determinations — per-procurement, directional",0,0.0
357,"IMPRES TECHNOLOGY SOLUTIONS, INC",MSSQQ551LG41,69,101245904.93999998,0.0,0.0,0.0,1467331.96,69,0.04,,no_forward_book,100.0,0.0,True,"latest of 6 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 2 total), with 4 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
358,"DILIGENT CONSULTING, INC",SYNCWKJ72KW1,18,101171556.52,0.0,0.0,0.0,5620642.03,18,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 32 readable determinations — per-procurement, directional",0,0.0
360,INDIAN TOWNSHIP SOLUTIONS LLC,TMBLPE89S258,30,100849947.87000002,0.0,0.0,0.0,3361664.93,30,0.04,0.0,value_weighted_near_term_share,97.5,0.0,False,"no S->O transition across 81 readable determinations — per-procurement, directional",1,459570.0
361,"RAINBOW DATA SYSTEMS, INC",YELJZDJC8UR7,20,100769154.25,0.0,0.0,0.0,5038457.71,20,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 19 readable determinations — per-procurement, directional",0,0.0
363,IRONCLAD TECHNOLOGY SERVICES LLC,J5MPAE5AHRD7,13,99621298.6,0.0,0.0,0.0,7663176.82,13,0.04,,no_forward_book,100.0,0.0,True,"latest of 3 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 2 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
364,"TRIPOINT SOLUTIONS, LLC",Q3NHPNH2BKZ5,34,98812586.51,0.0,0.0,0.0,2906252.54,34,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 44 readable determinations — per-procurement, directional",0,0.0
365,"CHENEGA IT ENTERPRISE SERVICES, LLC",W4JMN6B97WC4,17,98434822.79,0.0,0.0,0.0,5790283.69,17,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 37 readable determinations — per-procurement, directional",0,0.0
366,DELTA POINT LLC,YPABB25UK1L3,17,98238265.17000002,0.0,0.0,0.0,5778721.48,17,0.04,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 20 readable determinations — per-procurement, directional",1,504213.6
367,"D7, LLC",MKDBBAKLTE96,9,98170901.72,53374111.4,53374111.4,53374111.4,10907877.97,9,0.04,100.0,value_weighted_near_term_share,0.8,0.0,False,"no S->O transition across 17 readable determinations — per-procurement, directional",1,53374111.4
370,"PRAGMATICS, LLC",VFCDYMTA3YS5,15,97775348.45,12314856.0,12314856.0,12314856.0,6518356.56,15,0.04,100.0,value_weighted_near_term_share,52.3,0.0,False,"no S->O transition across 27 readable determinations — per-procurement, directional",1,12314856.0
371,ICI SERVICES CORPORATION,MP94Y572UY34,2,96078127.03,0.0,0.0,0.0,48039063.52,2,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 32 readable determinations — per-procurement, directional",0,0.0
372,"INDYNE, INC",K21BNJGB9US6,13,96047219.96,0.0,0.0,0.0,7388247.69,13,0.04,0.0,value_weighted_near_term_share,66.7,0.0,False,"no S->O transition across 23 readable determinations — per-procurement, directional",1,1690462.0
373,"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC",WUK9A5UR33S7,9,95816225.96,0.0,0.0,0.0,10646247.33,9,0.04,,no_forward_book,100.0,0.0,True,"latest of 26 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 23 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
377,"PLATEAU SOFTWARE, INC",RDRMK6YZBA44,21,95124000.96,0.0,0.0,0.0,4529714.33,21,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 30 readable determinations — per-procurement, directional",0,0.0
379,EVERGREEN FIRE ALARMS LLC,JN1KL17EELC5,61,94937239.19,1475826.0,2726083.0,8652450.3,1556348.18,61,0.04,17.1,value_weighted_near_term_share,20.8,0.0,True,"latest of 74 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 2 total), with 72 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",5,8652450.3
380,APPIAN CORPORATION,QHL3D738D7L4,6,94834680.63,0.0,0.0,0.0,15805780.11,6,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 3 readable determinations — per-procurement, directional",0,0.0
381,"DISTRIBUTED COMPUTING SYSTEM SOLUTIONS PROVIDER, INC",VLLKTRK4ANF3,10,94727513.58,0.0,0.0,0.0,9472751.36,10,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 23 readable determinations — per-procurement, directional",0,0.0
382,"OM GROUP, INC",JKWJLKJRP1J1,37,94533462.92000002,0.0,0.0,0.0,2554958.46,37,0.04,,no_forward_book,100.0,0.0,True,"latest of 24 NAICS 541511 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 23 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
383,CYKOR LLC,J4BPM3UKM674,61,93876885.58,752705.0,752705.0,752705.0,1538965.34,61,0.04,100.0,value_weighted_near_term_share,83.1,0.0,False,"no S->O transition across 312 readable determinations — per-procurement, directional",1,752705.0
384,BOWHEAD PROFESSIONAL SOLUTIONS LLC,GRZ5EJZB3JC4,12,92931978.69,0.0,0.0,0.0,7744331.56,12,0.04,,no_forward_book,100.0,0.0,True,"latest of 4 NAICS 541511 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
385,FOXHOLE TECHNOLOGY LLC,WMLWFN8A3KV9,5,92794395.22,0.0,0.0,0.0,18558879.04,5,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 7 readable determinations — per-procurement, directional",0,0.0
386,IPSECURE INC,KR8YUDRDK1M7,26,92584694.43,0.0,0.0,0.0,3560949.79,26,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 29 readable determinations — per-procurement, directional",0,0.0
388,"BMA TECHNICAL SERVICES, INC",R5U4EB2KFB89,13,91023039.98,61875038.78,61875038.78,65298389.02,7001772.31,13,0.04,94.8,value_weighted_near_term_share,3.2,0.0,False,"no S->O transition across 55 readable determinations — per-procurement, directional",3,65298389.02
389,"GZO, INC",N1D1QHD3JA45,8,90970309.36,0.0,0.0,0.0,11371288.67,8,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 10 readable determinations — per-procurement, directional",0,0.0
390,"SAVANTAGE FINANCIAL SERVICES, INC",HJXCFLHBZ6S1,2,90665453.43,0.0,0.0,0.0,45332726.72,2,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 11 readable determinations — per-procurement, directional",0,0.0
391,KONIAG INFORMATION SECURITY SERVICES LLC,HJ1AH6Q8VXU4,16,90651714.37,0.0,0.0,0.0,5665732.15,16,0.04,0.0,value_weighted_near_term_share,93.5,0.0,False,"no S->O transition across 5 readable determinations — per-procurement, directional",1,585684.36
392,FEDERAL RESOURCES CORPORATION,FZK7KZZJYNQ9,42,90521774.77,461630.33,461630.33,461630.33,2155280.35,42,0.04,100.0,value_weighted_near_term_share,81.8,0.0,False,"no S->O transition across 266 readable determinations — per-procurement, directional",1,461630.33
393,PELATRON TECHNOLOGIES LLC,X1ETBYULL9J7,10,90213354.42,0.0,0.0,0.0,9021335.44,10,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 27 readable determinations — per-procurement, directional",0,0.0
394,"SIERRA NEVADA COMPANY, LLC",N1PWVLN6F4U1,25,90031333.85,0.0,0.0,3231459.28,3601253.35,25,0.04,0.0,value_weighted_near_term_share,26.4,0.0,False,"no S->O transition across 13 readable determinations — per-procurement, directional",2,3231459.28
395,CYBER SYSTEMS & SERVICES SOLUTIONS LLC,CRCTFDKCLB26,8,89505548.62,0.0,0.0,0.0,11188193.58,8,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 50 readable determinations — per-procurement, directional",0,0.0
396,PTSI MANAGED SERVICES INC,V6HHNX7LE717,16,89280710.08,0.0,3128876.0,3128876.0,5580044.38,16,0.04,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 21 readable determinations — per-procurement, directional",3,9470053.0
397,NEXTGEN FEDERAL SYSTEMS LLC,N1M7HLLHNSU9,14,89242225.24,0.0,0.0,0.0,6374444.66,14,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 16 readable determinations — per-procurement, directional",0,0.0
399,AGILE-BOT LLC,GNXSPAKJXZF6,1,88913072.89,0.0,0.0,0.0,88913072.89,1,0.04,,no_forward_book,100.0,0.0,,insufficient determinations (<3 per NAICS cell),0,0.0
400,SKYLIGHT INC,F1QZXZNLZJF2,17,88550081.31,0.0,0.0,1496755.06,5208828.31,17,0.04,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 25 readable determinations — per-procurement, directional",1,1496755.06
401,AKIMA DATA MANAGEMENT LLC,XQJFSL4MCKR9,15,88493964.84,934410.3500000001,934410.3500000001,14215126.74,5899597.66,15,0.04,6.6,value_weighted_near_term_share,8.2,0.0,False,"no S->O transition across 25 readable determinations — per-procurement, directional",3,14215126.74
403,"GEOGRAPHIC INFORMATION SERVICES, INC",H64NCT3G3XM3,22,88072760.31000002,0.0,0.0,0.0,4003307.29,22,0.04,,no_forward_book,100.0,0.0,True,"latest of 4 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
404,PAE APPLIED TECHNOLOGIES LLC,K55GHE7FCEF5,56,87281983.09,0.0,0.0,0.0,1558606.84,56,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 109 readable determinations — per-procurement, directional",0,0.0
405,HONEYWELL INTERNATIONAL INC,F9KYRN7FM2B7,21,87215335.47,0.0,0.0,0.0,4153111.21,21,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 39 readable determinations — per-procurement, directional",0,0.0
406,"STRATEGIC DATA SYSTEMS, INC",K6TLMY7UBHJ6,8,86825415.38999999,0.0,0.0,0.0,10853176.92,8,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 18 readable determinations — per-procurement, directional",0,0.0
407,"EXETER INFORMATION TECHNOLOGY SERVICES, LLC",G5CXKMJQRYZ6,8,86800967.05000001,0.0,0.0,0.0,10850120.88,8,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 13 readable determinations — per-procurement, directional",0,0.0
408,RYAN CONSULTING GROUP INC,LN6PCDTT73L1,7,86704181.1,24328200.96,24328200.96,24328200.96,12386311.59,7,0.04,100.0,value_weighted_near_term_share,20.6,0.0,False,"no S->O transition across 10 readable determinations — per-procurement, directional",1,24328200.96
409,"VECTOR PLANNING & SERVICES, INC",D717B1FT8GB5,7,86537738.66,0.0,0.0,0.0,12362534.09,7,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 19 readable determinations — per-procurement, directional",0,0.0
410,"BUSINESS ENABLED ACQUISITION AND TECHNOLOGY, INC",U3QJUBM7ZFA6,20,86388409.12,0.0,0.0,0.0,4319420.46,20,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 32 readable determinations — per-procurement, directional",0,0.0
411,SOLIEL LLC,JXYLN4KMJ3Y5,24,85660012.88999999,0.0,0.0,0.0,3569167.2,24,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 30 readable determinations — per-procurement, directional",0,0.0
412,AGE SOLUTIONS LLC,JA6DRAGJ4JJ1,5,85563367.24000001,5711404.49,5711404.49,50979750.07,17112673.45,5,0.04,11.2,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 7 readable determinations — per-procurement, directional",2,50979750.07
415,"STS SYSTEMS INTEGRATION, LLC",F7LSWJF8A2W3,10,85210502.51,0.0,0.0,0.0,8521050.25,10,0.04,,no_forward_book,100.0,0.0,True,"latest of 4 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
416,"HIGHLIGHT TECHNOLOGIES, INC",C2MSYQALD3E4,7,84972091.36,0.0,0.0,0.0,12138870.19,7,0.04,,no_forward_book,100.0,0.0,True,"latest of 4 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
418,"DISYS SOLUTIONS, INC",R15MK4RSWRD3,62,84070644.97,0.0,0.0,0.0,1355978.14,62,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 510 readable determinations — per-procurement, directional",0,0.0
419,NOBLIS MSD LLC,G9VKEZM3P5Y5,9,83494276.47999999,0.0,0.0,0.0,9277141.83,9,0.04,,no_forward_book,100.0,0.0,True,"latest of 380 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 354 total), with 26 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
421,CYNERGY PROFESSIONAL SYSTEMS LLC,GK55J77VGN84,31,83390533.84,0.0,0.0,13588972.47,2690017.22,31,0.04,0.0,value_weighted_near_term_share,8.4,0.0,False,"no S->O transition across 105 readable determinations — per-procurement, directional",1,13588972.47
423,"WILDFLOWER INTERNATIONAL, LTD",TK17ZGD5YNA9,39,83102406.89999999,1340195.31,1340195.31,1340195.31,2130830.95,39,0.04,100.0,value_weighted_near_term_share,80.9,0.0,False,"no S->O transition across 133 readable determinations — per-procurement, directional",1,1340195.31
425,"MINBURN TECHNOLOGY GROUP, LLC",WN8JFVZTBCA5,23,83091685.68,0.0,0.0,0.0,3612681.99,23,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 75 readable determinations — per-procurement, directional",0,0.0
426,"KAPILI SERVICES, LLC",SLGWM5YNR661,9,83015814.95,0.0,0.0,0.0,9223979.44,9,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 41 readable determinations — per-procurement, directional",0,0.0
427,KONIAG MANAGEMENT SOLUTIONS LLC,ZZYLVTN9ZCQ8,6,82894205.9,0.0,0.0,2646822.48,13815700.98,6,0.04,0.0,value_weighted_near_term_share,67.9,0.0,False,"no S->O transition across 6 readable determinations — per-procurement, directional",1,2646822.48
429,"BOEING AEROSPACE OPERATIONS, INC",QL4CHNKHQQF4,2,82691442.28,0.0,0.0,0.0,41345721.14,2,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 116 readable determinations — per-procurement, directional",0,0.0
431,"VALKYRIE ENTERPRISES, LLC",X9C7KVWCMQJ6,24,82474169.53999999,0.0,0.0,0.0,3436423.73,24,0.04,0.0,value_weighted_near_term_share,36.4,0.0,True,"latest of 32 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 26 total), with 6 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,8626298.0
432,OBXTEK INC,SFBZYVFXLK13,6,82186831.32,0.0,0.0,0.0,13697805.22,6,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 31 readable determinations — per-procurement, directional",0,0.0
433,ALAMO-EVERGREEN JV LLC,WDLDXXZQAJ13,30,82106815.76,0.0,802929.0,802929.0,2736893.86,30,0.04,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 32 readable determinations — per-procurement, directional",3,9733802.0
434,INNOVATUS TECHNOLOGY CONSULTING,FQDQTL1F3LT7,18,82096376.08,0.0,0.0,0.0,4560909.78,18,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 46 readable determinations — per-procurement, directional",0,0.0
435,"DECILOG, INC",HYNSB5YZHBG5,15,81897930.72999999,1230109.63,1230109.63,1230109.63,5459862.05,15,0.04,100.0,value_weighted_near_term_share,53.1,0.0,False,"no S->O transition across 21 readable determinations — per-procurement, directional",1,1230109.63
436,"SOLVENTUM HEALTH INFORMATION SYSTEMS, INC",LUYEUMH42L88,7,81728980.0,0.0,0.0,0.0,11675568.57,7,0.04,,no_forward_book,100.0,0.0,False,"no S->O transition across 8 readable determinations — per-procurement, directional",0,0.0
440,"CAMBRIDGE INTERNATIONAL SYSTEMS, INC",STJ2X23FGCB3,6,81127926.51,0.0,0.0,0.0,13521321.08,6,0.03,,no_forward_book,100.0,0.0,True,"latest of 41 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 22 total), with 19 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
441,"KREATIVE TECHNOLOGIES, LLC",NX1PMLNXRQK5,27,81095774.63,0.0,0.0,0.0,3003547.21,27,0.03,0.0,value_weighted_near_term_share,95.9,0.0,False,"no S->O transition across 27 readable determinations — per-procurement, directional",1,434004.96
442,"CHENEGA TECHNICAL INNOVATIONS, LLC",J6G4KHLDGTQ6,9,80808439.88999999,0.0,0.0,0.0,8978715.54,9,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 29 readable determinations — per-procurement, directional",0,0.0
444,REDHORSE CORPORATION,JM1RHRXMLKG8,11,79936242.11,0.0,0.0,0.0,7266931.1,11,0.03,,no_forward_book,100.0,0.0,True,"latest of 18 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 8 total), with 10 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
445,DECISIONPOINT CORPORATION,GPASKFTTVQL9,8,79842806.77,0.0,0.0,0.0,9980350.85,8,0.03,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 16 readable determinations — per-procurement, directional",1,10966534.08
446,"AVUM, INC",SJ18PGX2SNY5,8,79389672.37,0.0,0.0,0.0,9923709.05,8,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 16 readable determinations — per-procurement, directional",0,0.0
447,"4 STAR TECHNOLOGIES, INC",UYLVJZ49BFC6,66,79036759.36,0.0,0.0,0.0,1197526.66,66,0.03,,no_forward_book,100.0,0.0,True,"latest of 353 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 18 total), with 335 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
449,"JMA RESOURCES, INC",W6N5KZFS4MJ8,22,78169966.49,0.0,0.0,0.0,3553180.3,22,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 22 readable determinations — per-procurement, directional",0,0.0
450,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC",FLLRPTP8S7N4,4,78107747.4,0.0,0.0,0.0,19526936.85,4,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 21 readable determinations — per-procurement, directional",0,0.0
451,DEFINITIVE LOGIC CORPORATION,LS7WLM8JFW99,13,78009984.41,0.0,0.0,0.0,6000768.03,13,0.03,,no_forward_book,100.0,0.0,True,"latest of 10 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 3 total), with 7 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
452,AKIMA SYSTEMS ENGINEERING LLC,GVEBGEGJMPA4,12,77990896.81,0.0,0.0,0.0,6499241.4,12,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 19 readable determinations — per-procurement, directional",0,0.0
454,"ENHANCED VETERANS SOLUTIONS, INC",NXH1K6AMJL55,11,77933093.00999999,0.0,0.0,0.0,7084826.64,11,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 12 readable determinations — per-procurement, directional",0,0.0
455,LINK SOLUTIONS INC,ZK7FKADLN8H8,29,77810995.0,415838.96,415838.96,415838.96,2683137.76,29,0.03,100.0,value_weighted_near_term_share,96.5,0.0,False,"no S->O transition across 46 readable determinations — per-procurement, directional",1,415838.96
456,ACCELGOV LLC,NANQLBFHT5E1,14,77774206.40999998,0.0,0.0,0.0,5555300.46,14,0.03,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 22 readable determinations — per-procurement, directional",2,12421463.8
458,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,HB6KNGVNJRU1,5,76994445.4,0.0,0.0,0.0,15398889.08,5,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 51 readable determinations — per-procurement, directional",0,0.0
459,MARSHALL COMMUNICATIONS CORP,MMLDQGHYB354,29,76804161.59,0.0,0.0,0.0,2648419.37,29,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 122 readable determinations — per-procurement, directional",0,0.0
460,"THE MISSION ESSENTIAL GROUP, LLC",R3WYKKNUJVF8,15,76700262.98,0.0,0.0,0.0,5113350.87,15,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 26 readable determinations — per-procurement, directional",0,0.0
461,AKIRA TECHNOLOGIES INC,E7RRWZMHYG13,32,76591353.71000001,0.0,0.0,694836.4,2393479.8,32,0.03,0.0,value_weighted_near_term_share,97.0,0.0,False,"no S->O transition across 125 readable determinations — per-procurement, directional",1,694836.4
462,INSERSO CORPORATION,K18HRGF7HW21,17,76557282.39999999,0.0,0.0,0.0,4503369.55,17,0.03,0.0,value_weighted_near_term_share,10.0,0.0,True,"latest of 4 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,38211432.96
464,"SIGNET TECHNOLOGIES, INC",JHBXPMMAESY3,32,75445723.54,0.0,471495.0,4260264.91,2357678.86,32,0.03,0.0,value_weighted_near_term_share,64.7,0.0,True,"latest of 16 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 15 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,4260264.91
466,"BOECORE, LLC",MJKMLGUTMMJ1,41,74654214.39,0.0,0.0,0.0,1820834.5,41,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 57 readable determinations — per-procurement, directional",0,0.0
467,GREENBRIER GOVERNMENT SOLUTIONS INC,KVMTJANNET58,16,74423759.94,0.0,0.0,0.0,4651485.0,16,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 33 readable determinations — per-procurement, directional",0,0.0
468,"FEDERAL INFORMATION SYSTEMS, INC",VX82URLEFNC9,3,73760497.69999999,0.0,26480702.72,65366717.449999996,24586832.57,3,0.03,0.0,value_weighted_near_term_share,11.4,0.0,False,"no S->O transition across 10 readable determinations — per-procurement, directional",2,65366717.449999996
472,"CKA, LLC",LUASL9CK6K13,8,73428180.58,0.0,0.0,0.0,9178522.57,8,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 10 readable determinations — per-procurement, directional",0,0.0
473,"BLUE YONDER DEFENSE SOLUTIONS, LLC",LU24CQ9AA884,4,73220823.29,0.0,0.0,0.0,18305205.82,4,0.03,0.0,value_weighted_near_term_share,0.0,0.0,False,"no S->O transition across 4 readable determinations — per-procurement, directional",1,13950000.0
474,MALASHA TECHNOLOGIES INC,TYGNVN2NS549,7,73153089.31,0.0,0.0,0.0,10450441.33,7,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 7 readable determinations — per-procurement, directional",0,0.0
475,VENCEDOR TECHNOLOGIES LLC,D3BKEK599ZU9,6,73114995.7,0.0,0.0,0.0,12185832.62,6,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 8 readable determinations — per-procurement, directional",0,0.0
476,"KATMAI TECHNICAL SERVICES, LLC",GERMM3L4D261,14,72856812.69999999,0.0,0.0,0.0,5204058.05,14,0.03,0.0,value_weighted_near_term_share,60.2,0.0,False,"no S->O transition across 65 readable determinations — per-procurement, directional",1,3449749.74
478,VION CORPORATION,UMBBK5L3B8A3,33,72169805.03999999,0.0,0.0,0.0,2186963.79,33,0.03,,no_forward_book,100.0,0.0,False,"no S->O transition across 80 readable determinations — per-procurement, directional",0,0.0
